Order_ID,Order_Date,Product_ID,Sales_Rep_ID,Region_ID,Quantity_Sold,Unit_Price,Total_Sales,Profit,Return_Flag,Time,Year,Month,Day_of_Week,Hour
1001,2024-09-05,202,305,101,2,345,690,131,FALSE,23:47,2024,9,Thursday,23
1002,2023-12-13,204,301,105,1,33,33,7,FALSE,16:50,2023,12,Wednesday,16
1003,2023-09-17,201,303,101,3,167,502,125,FALSE,09:00,2023,9,Sunday,9
1004,2022-12-24,204,301,105,2,251,502,151,FALSE,06:50,2022,12,Saturday,6
1005,2023-08-05,202,303,102,2,126,251,38,FALSE,10:42,2023,8,Saturday,10
1006,2023-12-30,205,303,103,5,249,1246,212,FALSE,16:13,2023,12,Saturday,16
1007,2024-03-22,202,305,101,9,365,3283,624,FALSE,01:32,2024,3,Friday,1
1008,2024-06-17,203,301,104,9,109,980,206,TRUE,14:48,2024,6,Monday,14
1009,2023-01-16,205,301,104,4,401,1605,401,FALSE,05:40,2023,1,Monday,5
1010,2024-10-08,201,304,103,6,142,855,256,FALSE,13:45,2024,10,Tuesday,13
1011,2024-02-20,203,301,104,10,294,2940,441,FALSE,21:27,2024,2,Tuesday,21
1012,2023-04-01,201,303,102,10,319,3188,542,FALSE,07:19,2023,4,Saturday,7
1013,2023-05-03,202,301,101,4,187,747,142,FALSE,22:36,2023,5,Wednesday,22
1014,2022-11-29,204,303,103,8,113,903,190,TRUE,02:24,2022,11,Tuesday,2
1015,2024-08-09,204,301,103,9,281,2527,632,FALSE,06:41,2024,8,Friday,6
1016,2023-09-24,202,302,103,8,366,2929,879,FALSE,00:54,2023,9,Sunday,0
1017,2024-01-25,202,301,105,7,76,530,80,FALSE,13:12,2024,1,Thursday,13
1018,2023-03-06,202,301,104,7,404,2829,481,TRUE,12:19,2023,3,Monday,12
1019,2023-06-04,201,303,104,10,302,3015,573,FALSE,00:40,2023,6,Sunday,0
1020,2023-03-25,202,303,102,10,327,3271,687,TRUE,23:01,2023,3,Saturday,23
1021,2024-08-31,201,303,104,7,393,2752,688,TRUE,05:57,2024,8,Saturday,5
1022,2023-08-23,201,301,104,2,375,749,225,TRUE,05:55,2023,8,Wednesday,5
1023,2024-06-24,203,305,104,4,337,1350,202,FALSE,10:59,2024,6,Monday,10
1024,2024-07-25,201,303,105,9,361,3250,553,FALSE,13:23,2024,7,Thursday,13
1025,2024-03-16,205,305,105,10,104,1038,197,TRUE,08:45,2024,3,Saturday,8
1026,2023-09-09,203,304,103,9,319,2874,603,FALSE,14:05,2023,9,Saturday,14
1027,2022-12-01,204,303,103,5,109,546,136,TRUE,21:34,2022,12,Thursday,21
1028,2024-09-26,202,305,103,8,88,706,212,FALSE,06:31,2024,9,Thursday,6
1029,2023-09-18,202,302,101,2,202,404,61,FALSE,10:40,2023,9,Monday,10
1030,2022-11-28,201,302,101,7,336,2351,400,FALSE,16:56,2022,11,Monday,16
1031,2023-04-05,203,303,105,5,269,1346,256,FALSE,22:10,2023,4,Wednesday,22
1032,2024-01-26,203,303,101,1,317,317,66,FALSE,12:50,2024,1,Friday,12
1033,2023-07-05,203,305,105,10,373,3726,932,FALSE,21:12,2023,7,Wednesday,21
1034,2023-07-12,205,303,101,10,67,673,202,FALSE,16:28,2023,7,Wednesday,16
1035,2024-09-13,201,305,105,5,41,207,31,FALSE,21:45,2024,9,Friday,21
1036,2022-11-17,201,304,103,5,138,690,117,TRUE,09:00,2022,11,Thursday,9
1037,2023-02-01,205,304,102,4,381,1524,290,FALSE,12:06,2023,2,Wednesday,12
1038,2023-01-14,202,302,103,7,242,1696,356,FALSE,13:24,2023,1,Saturday,13
1039,2023-12-26,205,301,103,8,399,3189,797,FALSE,10:35,2023,12,Tuesday,10
1040,2024-05-15,201,305,103,5,350,1752,526,TRUE,21:56,2024,5,Wednesday,21
1041,2024-09-29,204,303,103,5,80,399,60,FALSE,05:17,2024,9,Sunday,5
1042,2023-01-18,203,301,102,6,396,2377,404,FALSE,15:55,2023,1,Wednesday,15
1043,2023-12-02,201,303,103,4,141,564,107,TRUE,21:46,2023,12,Saturday,21
1044,2023-06-29,205,303,105,8,336,2691,565,FALSE,14:12,2023,6,Thursday,14
1045,2024-02-20,202,303,103,7,41,284,71,FALSE,13:10,2024,2,Tuesday,13
1046,2023-01-19,202,302,102,7,130,909,273,FALSE,04:27,2023,1,Thursday,4
1047,2024-03-16,201,305,103,3,31,93,14,FALSE,15:37,2024,3,Saturday,15
1048,2024-01-08,204,304,105,1,85,85,15,FALSE,09:07,2024,1,Monday,9
1049,2023-11-01,203,305,104,4,342,1369,260,FALSE,14:07,2023,11,Wednesday,14
1050,2022-11-16,204,301,102,9,350,3146,661,FALSE,07:58,2022,11,Wednesday,7
1051,2023-06-28,202,301,103,3,400,1199,300,FALSE,23:20,2023,6,Wednesday,23
1052,2023-10-24,203,301,104,2,59,118,36,FALSE,04:26,2023,10,Tuesday,4
1053,2023-11-03,202,301,101,3,171,514,77,FALSE,05:14,2023,11,Friday,5
1054,2024-07-30,201,305,105,1,292,292,50,FALSE,20:06,2024,7,Tuesday,20
1055,2023-06-15,204,302,105,4,302,1209,230,FALSE,12:27,2023,6,Thursday,12
1056,2023-08-13,203,303,101,8,126,1005,211,TRUE,14:01,2023,8,Sunday,14
1057,2024-10-06,201,303,105,2,328,656,164,FALSE,11:35,2024,10,Sunday,11
1058,2023-03-11,204,305,102,7,154,1079,324,FALSE,06:49,2023,3,Saturday,6
1059,2024-10-25,202,304,102,4,319,1277,192,FALSE,19:14,2024,10,Friday,19
1060,2024-03-07,202,302,103,3,330,990,168,FALSE,18:51,2024,3,Thursday,18
1061,2023-04-19,204,303,101,9,219,1969,374,FALSE,10:35,2023,4,Wednesday,10
1062,2023-06-20,203,304,101,10,177,1769,371,FALSE,03:17,2023,6,Tuesday,3
1063,2023-07-10,203,301,105,8,39,315,79,TRUE,12:39,2023,7,Monday,12
1064,2022-11-09,202,303,101,4,117,468,140,FALSE,11:22,2022,11,Wednesday,11
1065,2024-05-25,204,303,102,3,59,178,27,FALSE,22:59,2024,5,Saturday,22
1066,2024-01-25,205,304,102,9,365,3281,558,FALSE,01:46,2024,1,Thursday,1
1067,2023-02-18,204,302,105,9,314,2823,536,FALSE,08:30,2023,2,Saturday,8
1068,2024-01-02,205,305,103,7,200,1400,294,FALSE,02:43,2024,1,Tuesday,2
1069,2023-12-15,204,302,103,2,367,733,183,FALSE,00:30,2023,12,Friday,0
1070,2024-06-04,205,302,101,8,294,2353,706,FALSE,18:34,2024,6,Tuesday,18
1071,2024-09-26,204,304,101,9,190,1711,257,FALSE,14:32,2024,9,Thursday,14
1072,2024-05-13,205,303,104,6,60,358,61,TRUE,07:59,2024,5,Monday,7
1073,2023-02-14,201,304,105,1,77,77,15,FALSE,05:49,2023,2,Tuesday,5
1074,2024-08-27,201,303,101,1,201,201,42,FALSE,15:06,2024,8,Tuesday,15
1075,2023-09-21,202,303,102,10,146,1463,366,FALSE,20:32,2023,9,Thursday,20
1076,2023-11-10,202,302,105,10,154,1545,463,FALSE,17:59,2023,11,Friday,17
1077,2022-12-19,202,302,101,4,321,1284,193,FALSE,00:39,2022,12,Monday,0
1078,2024-09-20,203,301,101,2,429,858,146,FALSE,21:54,2024,9,Friday,21
1079,2023-10-13,203,305,101,3,120,360,68,TRUE,14:15,2023,10,Friday,14
1080,2024-09-06,205,304,105,5,336,1681,353,FALSE,09:26,2024,9,Friday,9
1081,2024-04-02,205,304,104,8,353,2822,706,FALSE,07:17,2024,4,Tuesday,7
1082,2023-09-21,202,304,105,4,103,413,124,FALSE,16:04,2023,9,Thursday,16
1083,2024-06-24,201,304,101,8,208,1662,249,FALSE,23:10,2024,6,Monday,23
1084,2023-04-21,204,301,102,4,417,1669,284,FALSE,16:23,2023,4,Friday,16
1085,2024-10-03,201,301,104,2,47,93,18,FALSE,00:59,2024,10,Thursday,0
1086,2024-08-16,201,301,103,10,185,1846,388,FALSE,20:34,2024,8,Friday,20
1087,2023-04-16,203,301,104,9,328,2948,737,FALSE,03:43,2023,4,Sunday,3
1088,2024-05-23,203,303,101,8,128,1027,308,FALSE,00:50,2024,5,Thursday,0
1089,2024-05-10,205,305,102,6,135,810,122,FALSE,05:09,2024,5,Friday,5
1090,2023-02-15,201,305,102,4,72,286,49,FALSE,02:05,2023,2,Wednesday,2
1091,2023-02-20,204,301,105,9,96,860,163,FALSE,04:50,2023,2,Monday,4
1092,2023-11-01,201,303,105,4,238,954,200,FALSE,18:02,2023,11,Wednesday,18
